Postcode,Count taxable income or loss,Average taxable income or loss,Median taxable income or loss,Count salary and wages,Average salary and wages,Median salary and wages,Count net rent,Average net rent,Median net rent,Count total income or loss,Average total income or loss,Median total income or loss,Count total deductions,Average total deductions,Median total deductions,Count total business income,Average total business income,Median total business income,Count  total business expenses,Average total business expenses,Median total business expenses,Count net tax,Average net tax,Median net tax,Count super total accounts balance,Average super total accounts balance,Median super total accounts balance
6220,2765,56803,44268,2201,56965,48583,430,-1111,-1336,2765,58979,46156,2765,2048,549,158,108617,25534,168,84054,15816,2070,17108,11062,3196,98749,33668
6221,111,49022,42426,81,55386,48390,24,-174,-706,111,51725,42893,111,2703,495,5,30320,23480,5,26560,24419,84,13021,8964,131,130547,35071
6224,658,56860,44564,515,58291,48231,111,-1468,-1633,658,59615,46858,658,2503,574,49,63893,32320,50,48763,16299,485,17569,11440,783,110657,38620
6225,4715,66998,48558,3917,72158,57167,781,-3610,-2846,4715,69088,50375,4715,1968,799,238,79433,27804,235,68335,16733,3525,22065,17048,5720,115648,45478
6226,471,70999,51722,362,70678,56158,115,-2949,-4616,471,73593,54604,471,2303,701,35,92725,42819,36,59524,20134,357,24435,15151,480,129240,59796
6227,448,64090,50490,368,70180,55948,73,-2290,-1559,448,66545,52280,448,2267,649,34,48948,17670,35,74464,14725,351,19870,14793,519,104109,47899
6229,141,57492,43250,98,53607,44354,27,7074,-2757,141,59927,44691,141,2323,520,11,75404,15177,11,60566,7205,105,17983,13410,150,83757,38118
6230,24679,63322,46656,20462,61823,49064,4049,-2484,-2533,24679,65661,48501,24679,2280,690,1552,101250,32468,1545,64185,14086,19160,19622,11678,28907,102784,36398
6232,6045,61412,48484,5149,64401,53057,779,-3668,-2560,6045,63608,50541,6045,2156,733,336,82607,27605,337,53139,11607,4763,17913,12663,6892,86914,41648
6233,10945,66174,49575,9183,68038,54410,1849,-3580,-2673,10945,68481,51769,10945,2182,744,621,72997,24225,623,48537,11268,8518,20682,14285,12434,109888,45838
6236,1316,58046,42812,960,61773,44284,227,-2340,-1569,1316,60789,45137,1316,2326,602,122,95946,37276,119,87281,27131,979,18153,11082,1433,144889,55814
6237,1512,63719,47116,1084,65360,51021,317,-1587,-2402,1512,66702,49470,1512,2752,616,128,82832,29496,126,50135,17556,1133,20698,12808,1669,120895,57907
6239,2645,52512,37414,1992,57203,42914,457,-2411,-2365,2645,54933,39575,2645,2041,481,213,105930,25879,221,90268,15132,1828,16716,10595,3070,97063,35426
6240,64,41765,29258,35,60192,43567,18,-2392,-1272,64,45768,31960,64,2638,366,10,57524,60774,10,41042,41378,37,15763,6355,78,146116,32180
6244,944,47563,37206,532,48035,40126,167,1836,313,944,51375,39600,944,2978,300,100,72766,27944,93,61026,18470,619,14662,9629,960,113838,42482
6251,210,46998,36899,138,46415,39302,39,3072,833,210,48909,38105,210,1734,315,18,58027,47295,19,44041,29300,146,13353,6505,235,88896,38182
6253,406,43863,29458,265,44951,33500,84,-1133,119,406,45614,30582,406,1691,300,70,34811,21136,71,29542,19753,242,15191,9178,465,110000,33439
6254,249,52740,36469,197,60348,43484,37,-3746,-2141,249,54000,38677,249,1212,395,24,173203,37432,24,161342,20248,171,16901,9856,318,85059,35685
6255,2312,51430,37465,1602,55358,43317,444,-358,-87,2312,53609,39080,2312,1810,375,257,59267,21870,252,47403,14012,1601,16192,9431,2561,118950,49021
6256,61,51445,34887,38,59868,46539,5,11051,15325,61,52971,37580,61,1257,295,12,54822,41556,12,34949,28742,39,18014,12403,70,79687,38000
6258,3905,48005,39078,3006,46869,40210,589,161,-239,3905,50591,40644,3905,2380,398,283,83375,35455,291,62926,19348,2804,13250,8780,4468,92455,34375
6260,952,48759,35768,675,41690,33811,145,850,224,952,51897,37018,952,2629,302,73,44493,22701,72,34448,18659,634,15190,8355,1060,98225,29576
6262,409,48265,34492,274,52427,37492,67,-2278,-1687,409,52017,36882,409,2527,301,52,43278,14496,56,42674,12476,277,15167,7512,465,86341,37044
6271,1873,55270,42736,1446,58865,47418,269,-1762,-1889,1873,57594,44485,1873,1990,523,164,64829,24424,163,43166,11334,1367,16757,11418,2156,89427,40887
6275,812,44490,32958,523,51012,38286,146,977,1046,812,46642,35297,812,1952,452,86,60081,34767,88,45427,16707,514,13573,7945,935,109957,39352
6280,16025,54200,40509,11859,53618,42513,2674,-1766,-1929,16025,56758,42406,16025,2309,517,1540,79332,27854,1521,56084,12295,11706,16218,9601,17702,109417,39295
6281,4805,61450,42011,3334,57019,42156,894,-1858,-1896,4805,64486,44457,4805,2822,510,681,71333,30740,677,47486,12550,3540,20260,10364,5272,147741,41765
6282,955,57321,36996,564,57498,37706,202,-1125,-1645,955,61505,40024,955,3740,476,147,65756,33487,144,47017,15254,659,20180,10070,1015,217237,50778
6284,1313,58293,40982,929,60000,45319,225,-638,-675,1313,60983,43416,1313,2310,520,221,85023,25287,215,65108,12706,960,18818,10337,1423,103925,42248
6285,6395,50370,37428,4810,50883,38374,1028,-1711,-1440,6395,52551,39166,6395,2036,409,950,65923,26706,924,44407,13201,4538,15063,8551,7253,76766,26778
6286,395,44234,33507,247,45873,38150,98,2940,737,395,46566,34278,395,2231,308,60,135214,38840,61,124081,15384,254,13814,7833,407,108696,41243
6288,380,41739,32124,245,46596,34470,56,3366,4042,380,43758,35053,380,1738,300,54,145867,42838,55,134492,24982,249,12803,8029,403,137726,32102
6290,999,44131,32596,574,46805,37004,160,3992,798,999,46375,34200,999,2048,324,131,75797,32416,127,57319,12976,641,12944,7267,1071,133254,45936
6302,1978,55006,41126,1356,54722,43614,352,222,-374,1978,58710,43446,1978,2855,424,163,113067,24464,168,96964,17506,1402,16827,11710,2265,97560,41031
6304,911,58179,42433,536,53650,42877,144,751,183,911,61493,43726,911,3100,325,79,265360,38472,84,228801,27428,655,18012,10959,950,117251,41369
6306,587,66103,44597,350,43972,33718,88,2096,560,587,70766,47624,587,3660,400,45,62312,24022,41,49151,15375,440,20472,12601,652,101449,29287
6308,870,63401,47598,568,51252,43144,136,1954,-962,870,68741,52019,870,4027,416,64,88579,26771,63,67275,14858,665,18625,12520,967,113025,39527
6309,157,69469,45763,102,50847,41588,19,564,1461,157,73281,46995,157,3195,495,12,175865,69731,12,161967,55738,111,25535,12815,171,89249,45044
6311,303,58017,50807,206,52691,45570,45,-665,-873,303,61501,53250,303,2745,375,20,226385,14156,24,177419,9658,215,17756,13049,327,72534,38883
6312,2659,54360,44669,2002,50597,43334,460,-650,-581,2659,57355,47259,2659,2576,564,168,82974,25433,154,69547,20006,2035,14650,10168,3009,100025,34038
6313,98,65319,49546,67,47606,44835,24,4547,-1474,98,69145,49958,98,3651,495,8,36038,36534,8,17538,20368,70,21345,13334,100,103832,33674
6315,1234,51692,40888,840,44295,37726,179,683,-636,1234,57563,44794,1234,5083,614,111,112160,34461,109,91487,18967,915,13854,9408,1399,97362,34750
6316,212,72371,49857,128,41864,32821,36,1347,3080,212,78674,51547,212,5953,431,15,49728,51654,16,38339,30288,165,21635,12788,228,166712,50263
6317,2310,49831,41968,1804,45933,42073,320,1111,-212,2310,52954,43144,2310,2602,500,107,148022,34761,109,122237,19269,1782,12465,7621,2705,70524,25499
6318,273,64697,41925,175,39766,34820,55,80,475,273,70111,44433,273,3202,300,25,186983,70000,26,145770,31806,207,20917,9454,293,83791,34257
6320,345,55898,44827,196,44690,40153,68,713,703,345,61097,49401,345,4130,300,27,106422,44717,24,87050,34421,261,14757,10638,368,102596,32634
6321,312,42059,33549,174,42171,35517,53,-587,-300,312,44720,36178,312,2084,300,25,127727,31540,26,88572,12747,189,13096,7710,305,61435,24579
6322,152,52592,36852,88,35931,27055,26,-1005,2,152,57477,38692,152,3267,270,12,64062,28994,10,63027,42108,115,13786,5963,149,108099,30860
6323,514,44816,37560,351,46755,42352,73,205,-1125,514,47348,39768,514,2304,446,52,76136,37818,50,62491,40870,349,12038,8580,586,82606,38468
6324,2059,45609,36172,1430,45220,38796,316,-238,-212,2059,47800,37862,2059,1897,377,237,64951,27052,235,50920,15622,1421,12667,7915,2230,87526,30574
6326,313,40380,34820,175,47367,37272,44,-551,-860,313,43045,37077,313,1891,201,42,114796,47932,44,79764,25126,204,11853,7945,291,100030,27926
6327,119,39767,30882,61,47633,40055,12,5308,182,119,45610,33654,119,1992,231,13,125688,38529,13,86432,36207,78,11737,6396,126,80839,24549
6328,290,49509,37224,174,38353,31026,60,-1144,-697,290,54019,39038,290,2617,215,20,95717,16680,21,82056,19895,196,16362,9407,297,65494,25700
6330,20268,49880,39967,15217,50035,43085,3373,-992,-980,20268,52333,41918,20268,2249,584,1770,87246,28602,1726,65638,13968,14707,14119,9048,22097,102309,36849
6333,3449,46446,33546,2129,49183,35250,658,1892,596,3449,48871,35340,3449,2079,343,579,63831,21987,569,50214,12235,2253,14217,7350,3696,127592,39987
6335,477,65502,48622,340,52489,45385,76,323,-138,477,70790,53510,477,2767,420,44,155357,16760,43,136860,13284,380,19437,11894,529,93390,21957
6336,227,61408,46376,126,40389,34554,46,8669,700,227,67104,52427,227,3416,417,13,357040,59068,13,327217,45321,158,19082,11630,222,65305,19509
6337,413,67562,55023,247,44317,39243,71,-491,-1521,413,71748,59044,413,3597,310,25,239218,52606,27,177657,27447,331,19947,13289,441,65172,23019
6338,484,58573,42262,276,40156,27680,104,-293,-274,484,64507,45745,484,4229,300,48,88393,29051,44,85616,16805,335,19686,11722,501,123799,30165
6341,173,89794,66533,103,43185,37728,36,-6,-1024,173,97696,74929,173,7168,392,7,44728,39386,7,33682,23994,146,27002,18357,194,91892,35571
6343,142,74253,65464,51,38284,33692,25,1090,227,142,81933,71948,142,6286,265,16,184458,100433,16,136049,75225,109,22739,18385,147,83447,22272
6346,521,70940,55492,314,50049,44342,78,-1911,-3688,521,78583,61164,521,5781,445,27,72681,23518,26,62543,16604,402,21135,13675,553,88310,25341
6348,499,63839,47396,360,69057,61284,105,-3238,-3273,499,66184,49493,499,2180,500,34,75253,29568,35,56853,28304,349,21981,16858,579,88229,42612
6350,286,63683,52398,184,40112,34972,41,-2912,-1080,286,68680,55314,286,4182,300,18,47102,20322,16,32394,17314,225,17137,11536,298,98187,29594
6352,122,76042,51058,71,30848,24015,19,-1712,-884,122,84418,52948,122,7869,268,8,52685,24398,7,40304,20256,93,22237,15551,127,86337,21184
6353,560,66084,52100,375,47324,41088,96,1297,-660,560,73250,59344,560,4536,506,49,110574,46739,45,93110,26206,452,17650,13559,561,107022,36534
6355,395,91955,63244,213,35970,27426,55,998,1020,395,100340,69196,395,7076,300,32,160010,59700,31,119146,22912,314,29153,17762,483,100928,18049
6358,80,79575,60694,40,29931,26280,15,717,431,80,89965,67882,80,4135,182,10,149206,54906,11,107830,17682,67,15858,11910,88,40213,21381
6359,323,72654,52155,201,33569,26585,51,4992,1863,323,78104,54838,323,4723,300,30,109099,41264,30,81496,11362,261,19602,13326,339,99458,25461
6365,368,65798,52314,219,44184,37099,63,-1016,-1067,368,70163,54758,368,4076,353,31,143752,52996,30,121229,23176,293,17829,12085,388,106808,39702
6367,235,63332,50170,159,46548,38173,48,774,764,235,69840,54922,235,3917,300,17,46182,22920,17,34948,8567,187,16982,11230,249,81121,38139
6369,500,65941,49077,296,44172,38104,70,-273,436,500,72367,54077,500,3717,368,36,301264,108605,35,216767,65126,382,18881,12991,504,110551,29221
6370,331,55972,48413,201,37438,33707,58,3286,516,331,61105,49726,331,4413,299,17,56237,11831,19,42608,9015,248,14306,11027,342,108780,33607
6375,689,63946,51113,434,48745,41660,108,-465,-1482,689,68057,53069,689,3367,390,46,100696,40866,42,82595,23151,553,16731,11744,692,104401,36011
6383,571,75988,56827,333,51561,45362,89,2202,565,571,82668,60836,571,5467,420,43,278170,27130,42,265799,23150,443,24543,14834,610,90923,36390
6386,61,77955,62825,30,35217,32118,7,1329,-653,61,82750,65641,61,4794,300,3,98248,126198,3,74547,94811,45,25767,15183,61,72176,23389
6390,996,74528,64286,819,79222,73959,220,-3724,-2866,996,76915,67584,996,2206,702,49,47094,29491,50,23635,9994,798,24136,19030,1140,114414,58019
6391,713,61519,46711,448,43981,35000,141,2279,279,713,66214,50401,713,3706,348,51,67091,16347,53,52543,9995,549,17852,11349,721,104024,38455
6392,355,56122,48661,209,38472,31022,63,2942,179,355,61216,50726,355,4059,300,20,104495,38077,19,87955,21241,265,16129,11547,354,74466,31590
6393,80,41923,29205,39,36489,26215,7,-4566,-4229,80,43378,30833,80,1326,100,8,60721,49642,8,50830,39111,51,13083,7212,66,81298,26687
6394,88,52983,37876,53,41402,26715,14,6324,6501,88,57167,41207,88,3444,305,8,140935,94338,8,96766,52288,58,16340,12099,98,100695,28693
6395,1426,50027,38802,810,41024,35496,271,649,820,1426,54096,42317,1426,3536,300,92,108568,36700,100,81356,16830,1015,13608,8951,1467,102247,30977
6396,226,47859,37849,165,41148,37615,49,3063,-783,226,52724,39590,226,4760,431,10,26252,20128,8,18486,13611,161,13293,9671,250,80481,30302
6398,294,42289,30142,167,45800,34719,56,809,320,294,43906,31196,294,1411,254,46,62401,25492,46,47521,16954,175,12922,6499,304,129856,50406
6401,3827,56947,46650,3051,56494,48251,603,-1129,-1338,3827,59202,48379,3827,2170,516,258,89097,29712,268,64894,14343,2958,16157,11118,4623,90398,32746
6403,125,60592,42416,87,45514,35316,24,1786,66,125,63400,44144,125,2672,330,15,54869,17817,15,39073,12308,88,18621,12679,139,90038,29540
6405,203,59179,52065,137,46416,40183,37,-1001,-399,203,62366,53391,203,2719,463,23,58585,27786,22,47506,11996,165,14341,12368,205,89820,38668
6407,587,63196,50948,403,50253,44867,84,1475,170,587,67593,52955,587,4158,555,30,65353,21035,32,47847,24880,468,17225,12182,630,108498,31969
6409,246,69866,55000,152,46352,37022,31,1009,3080,246,73889,56172,246,4004,300,17,84478,28274,17,69029,10078,199,18973,13397,254,86891,29473
6410,554,57664,42468,380,48464,40392,84,627,-399,554,59593,43264,554,1499,360,38,98542,26070,39,64839,11541,422,16269,10060,603,77876,31881
6415,1689,58134,48618,1341,55493,48646,269,-775,-921,1689,63569,50812,1689,2705,674,107,117303,33686,102,95912,22216,1336,16234,12051,1975,81587,32735
6418,406,74318,57308,263,52180,47810,84,1824,-336,406,79079,60290,406,4668,596,25,61727,20000,25,48828,7960,324,21474,15225,475,111824,36346
6421,98,52788,39237,51,41888,33886,23,8247,3010,98,57265,42308,98,4139,300,8,82330,5731,9,108696,2819,69,18159,8891,101,112397,41812
6423,97,54290,45552,68,67757,56044,15,16283,-386,97,71182,49458,97,2479,577,8,607436,56300,9,395883,62905,70,17470,16750,118,69384,26778
6425,84,63029,48647,41,32116,24430,23,4287,1171,84,66562,49486,84,2244,184,5,117811,128920,5,90135,85638,57,20895,18273,91,69073,13171
6426,456,66844,51992,339,66832,55407,87,1022,-284,456,71171,55946,456,3503,613,21,221080,73759,21,176247,65326,339,21832,17872,561,95402,40573
6429,386,61533,54748,351,63863,56419,45,-4411,-3289,386,64095,56749,386,2498,748,17,69414,40261,18,39676,20658,319,16389,12944,560,59532,29392
6430,13803,73488,63351,12707,74356,66629,2675,-4787,-3510,13803,75897,65890,13803,2357,936,614,89502,28966,602,69430,18126,11520,22077,17504,17158,76720,34783
6431,55,53576,38933,49,51338,37463,6,3132,22,55,55778,43093,55,2202,465,4,767515,355110,4,706233,333933,39,15732,13354,191,17408,1881
6432,4047,67154,57400,3743,68621,60954,538,-4426,-3268,4047,69238,59449,4047,2026,826,177,73190,34600,170,54119,17100,3359,19009,14449,5405,61912,29279
6436,56,40258,33746,47,42448,40630,9,-1517,-2239,56,41397,34234,56,1140,500,3,31556,21026,2,45245,45244,37,10255,9144,77,39064,10620
6437,176,85975,80678,172,88818,88108,65,-6655,-6313,176,88379,82711,176,2376,960,4,21354,6958,5,19515,7510,157,24413,20844,250,66584,43498
6438,324,54062,47898,274,58209,51806,37,-6703,-4049,324,56841,48710,324,1591,478,29,83893,35785,29,61482,18051,231,15852,12437,461,46087,17459
6440,260,50906,42336,243,50810,41405,36,-6707,-5692,260,52234,43569,260,1302,423,10,57466,41605,10,35227,18880,184,13428,9911,361,43950,14511
6442,1257,77829,72463,1175,81582,79701,214,-5370,-3171,1257,80121,75480,1257,2280,916,44,61899,23938,42,43484,15851,1040,24050,22581,1654,69881,39166
6443,387,52914,42484,355,53889,43738,48,-4686,-2936,387,54569,43109,387,1525,620,20,80058,21557,22,57027,5146,295,13995,8696,534,56648,20591
6445,129,87916,49671,56,33380,27062,11,-1923,-1606,129,96681,51474,129,6209,300,13,227627,190956,13,159159,47294,91,30435,17600,124,150759,44381
6447,82,77192,63032,47,40981,31583,17,-1457,-1087,82,87121,69608,82,8631,741,7,197427,42910,5,159242,24924,66,25481,18271,99,126177,10106
6448,211,47498,36022,144,45068,36014,44,-1341,-1894,211,52673,38083,211,2328,456,14,60128,46416,14,45011,24508,149,14045,8465,227,71222,25435
6450,8199,55479,43160,6110,53109,44218,1425,-1062,-1121,8199,58710,45567,8199,2826,640,678,85929,27670,653,67223,13451,6088,16377,10614,9016,106580,34484
6460,412,62218,47240,267,44244,36137,57,2018,-1112,412,65186,49820,412,2684,302,30,175625,49187,30,164831,33802,299,19377,12034,452,88969,31756
6461,420,62541,44686,238,44524,33680,50,118,-388,420,66021,46595,420,3200,280,29,85138,27717,29,70858,23031,320,18205,10570,409,104205,39027
6468,205,59857,45527,110,44949,37060,31,5219,2149,205,67471,54139,205,6215,324,10,299890,60575,9,314352,26299,152,19809,12141,215,101808,24282
6472,147,60809,41899,63,36943,30492,27,-313,-146,147,65036,45535,147,3660,253,7,83368,63752,6,65995,55396,106,17924,13012,140,77331,30022
6475,251,53681,45893,159,46076,36077,22,-3246,-940,251,57835,47702,251,3318,280,24,87815,38644,23,76911,35551,188,13957,10091,255,85767,32325
6477,185,55960,46892,100,46439,38957,24,-3124,-3677,185,62066,50864,185,4828,300,24,58228,18918,23,51896,20362,135,16981,12418,169,126330,35199
6479,368,46107,39262,204,47779,42227,58,1077,-858,368,53148,44199,368,3215,300,27,142811,29840,24,133481,24534,244,14000,10489,400,101679,25737
6485,271,66761,50282,163,49475,38137,53,908,-62,271,72054,52796,271,4646,362,27,87932,19275,28,65603,19874,204,21250,14645,299,103544,35192
6488,118,51904,34658,66,35905,33004,22,6227,2705,118,61907,37502,118,3530,300,11,88457,55842,11,65373,66464,79,16535,10573,130,60868,26352
6490,129,52472,45212,91,43813,32424,21,10013,1752,129,59271,45512,129,5679,360,4,34078,38026,3,29470,29701,91,14849,13416,145,92891,29081
6501,612,60777,47618,456,62380,52619,108,-2198,-3076,612,63444,50481,612,2600,620,54,120806,50114,56,87521,19188,469,18363,12389,689,85215,37483
6502,765,52558,37209,527,60127,46072,125,-3490,-1399,765,55410,39306,765,2165,417,74,61789,28935,75,49692,19001,506,17544,9971,852,105731,43375
6503,1355,47391,37111,955,49089,38927,205,1589,-992,1355,49682,38739,1355,1698,300,142,56863,25727,142,44132,23832,928,14288,9396,1427,90934,31044
6505,86,41388,37244,42,45794,36986,21,6911,-2627,86,48966,41202,86,3476,435,13,106993,45084,13,98756,95252,55,12726,9353,88,76456,44893
6507,354,59002,45323,222,49433,43581,67,-595,-664,354,63742,49330,354,2659,394,33,87702,21773,34,67424,21924,259,17845,11244,377,138121,39258
6509,126,63651,50183,92,49417,49350,31,-860,-452,126,67825,51456,126,3541,410,7,77934,88860,6,32177,16934,99,19501,9790,126,83174,17859
6510,1213,53960,44595,906,52341,45724,210,-3472,-3168,1213,57649,47497,1213,3151,600,109,96173,31736,110,80869,25510,930,15032,10211,1377,94882,34576
6511,309,62540,39856,199,50357,37358,48,-1519,-1993,309,65390,40924,309,2848,320,42,79570,77979,41,41985,14513,220,21409,10359,353,135968,37489
6513,127,73220,52921,76,42547,39882,20,3979,-158,127,82323,61830,127,6174,913,9,40613,32182,9,22124,14292,101,24284,15845,148,97073,36607
6514,319,60899,37423,195,62449,48560,68,819,1854,319,64538,39815,319,3499,360,33,107415,28999,32,91367,16540,212,21586,12286,387,161300,45492
6515,241,52983,39450,137,46610,43179,43,3454,252,241,59545,44278,241,5892,484,13,278797,74581,14,220593,38623,169,16245,11084,239,134708,41109
6516,1040,61741,43316,705,63467,47416,202,-829,-870,1040,64637,45312,1040,2798,552,94,127290,25800,93,107015,20428,756,19906,12421,1152,139655,50693
6517,276,53029,46634,193,49291,46417,52,-2631,-1324,276,57742,49736,276,4505,766,13,58315,19250,13,45393,16571,214,14192,10881,325,126713,35478
6518,127,65115,44086,89,55332,50736,22,-660,-555,127,71988,55004,127,3180,368,4,393849,60118,4,373946,54700,92,22259,11506,164,101353,47574
6519,316,51053,37578,218,49736,41806,47,-1230,-800,316,55760,39352,316,4090,490,20,107423,61496,20,94920,35714,226,15994,9060,376,114705,32407
6521,224,46942,36588,135,41876,33445,28,2761,1454,224,52153,38377,224,3178,234,22,195529,56126,25,160031,55209,143,15718,8555,223,98709,25526
6522,305,63674,47739,202,44695,41889,32,-1756,-2440,305,70264,51502,305,5385,500,23,184206,28864,24,154199,19994,240,18910,10612,370,119137,30600
6525,2062,63836,43430,1429,59917,46552,350,-420,-460,2062,67505,46458,2062,3088,510,192,79843,30493,182,57795,11656,1498,21688,12319,2299,139685,50829
6528,296,50736,37985,183,55693,45620,51,1921,-1786,296,54131,41532,296,2351,330,29,75228,17140,31,60260,18392,201,17231,10789,312,113886,42677
6530,19455,59861,46800,15996,59364,49192,2826,-2730,-2610,19455,62391,49161,19455,2469,798,1220,77620,28609,1186,53249,12228,15260,17227,11558,22630,97015,35812
6532,2702,62485,50222,2122,64862,53342,499,-2197,-2685,2702,65528,52514,2702,2664,744,170,66511,28091,166,42707,16266,2067,19373,14030,2985,94302,46071
6535,891,48081,34277,580,50044,37382,139,-2780,-1840,891,50729,36206,891,2335,400,57,63285,20515,55,62862,13337,574,16129,9047,951,98227,38388
6536,855,52491,36588,609,56936,40908,162,-666,-1877,855,54848,37756,855,2306,421,83,74186,25131,81,60930,14975,580,17020,8575,988,104229,37466
6537,508,49693,41174,409,51163,43160,108,-1450,-1339,508,51413,42863,508,1696,405,32,104180,40786,35,68790,10922,366,12997,8239,583,79114,27336
6556,1232,60092,48371,970,63577,52680,223,-2243,-1615,1232,62390,50616,1232,2175,637,101,53413,33072,102,30771,13608,958,17644,12286,1410,95261,45778
6558,497,54307,44753,378,61513,53518,64,-5505,-2790,497,56523,46465,497,2099,469,40,72705,34708,45,63781,16573,360,16225,12767,588,83488,39491
6560,674,55403,46798,568,57907,50449,82,-3072,-3184,674,57193,48584,674,1723,630,59,57467,26520,61,39033,18015,524,15078,11399,812,60831,35001
6562,705,56892,42853,540,62132,53128,101,-2912,-1179,705,59273,44881,705,2075,450,65,76537,27090,65,66275,15906,521,17278,12508,812,98272,49212
6564,256,54705,41654,181,62526,49302,29,2031,49,256,56738,45139,256,1863,496,25,60704,42827,23,51167,21149,192,15682,9983,294,100538,36866
6566,1926,54936,41094,1347,60595,48818,329,-1382,-551,1926,57909,43299,1926,2219,450,208,64715,25514,212,47220,13897,1374,16637,10921,2198,108896,46111
6567,66,53737,42527,42,69845,55528,11,707,2203,66,55799,44651,66,1717,405,7,50614,25639,7,46168,37632,48,16126,9343,86,78662,49877
6568,150,63765,50405,84,58128,48182,26,4433,494,150,70727,57545,150,5808,550,8,51063,44964,9,20717,11377,112,19656,15291,151,100002,45179
6569,197,58947,42122,124,42585,36120,22,-1904,-860,197,62831,44878,197,3648,395,12,110044,72428,11,97115,75648,136,18611,12101,208,80599,27069
6575,116,58755,47917,69,36510,32760,16,-949,770,116,63639,54706,116,4266,397,8,195929,18212,8,149622,29474,89,16413,11866,131,116149,31960
6603,763,58568,46935,536,52279,44764,130,-400,-1015,763,63911,49878,763,3745,561,59,52578,15730,56,40698,7472,577,17361,11747,861,99857,35985
6606,134,58625,41966,70,36500,34774,21,2881,951,134,61896,42872,134,3271,280,7,12448,13925,7,15383,6695,110,15332,8489,135,83357,29934
6608,70,52158,37737,41,38484,32300,14,1768,1956,70,55103,38954,70,2374,384,2,31060,31060,2,11700,11700,59,12588,5948,84,65585,17985
6609,551,54142,45817,406,52546,46920,63,6899,1952,551,57039,48321,551,2538,395,23,240875,54139,26,207051,28911,423,15219,11624,595,88488,26139
6612,147,62224,54543,76,50398,44780,31,-4680,2737,147,70104,63433,147,5912,368,8,25466,14338,8,22245,11232,119,17559,13371,150,204993,57861
6620,215,52942,40919,131,56519,46457,23,-5500,-6891,215,55815,44237,215,2447,294,20,132583,42920,19,111380,18662,156,15500,11408,238,58778,25292
6623,402,55043,46811,285,53120,48763,58,2745,-828,402,61179,51132,402,3610,477,23,114441,56595,23,109701,41066,296,16512,12413,464,90959,26124
6630,315,54806,46792,227,50979,46316,35,-3761,-3012,315,58817,48395,315,2951,555,24,239693,27848,26,220349,13166,240,15630,12500,428,72590,24018
6635,77,43742,37436,63,49232,43781,8,-11104,-6221,77,46593,37918,77,2780,747,7,25867,2916,7,30804,3024,57,10588,7499,135,48006,12925
6638,237,49975,38837,185,53627,46057,36,-1051,583,237,52070,40165,237,1874,445,24,213592,32846,23,213356,25843,162,14256,8326,346,43716,18518
6640,113,42367,31007,74,50332,45382,8,3296,3340,113,44161,32492,113,1158,295,9,41971,16356,9,37072,17117,68,12860,7885,143,45113,17417
6642,400,52798,43862,324,53254,45246,36,-6289,-3396,400,54514,45218,400,1716,399,34,84522,33976,29,75801,23126,308,13361,8332,583,46315,11835
6646,118,47058,35370,99,50524,36427,15,-7957,-2554,118,51340,36854,118,2967,378,6,47993,47912,6,23315,8098,81,12202,8254,205,48087,7392
6701,3232,53571,42021,2593,51946,41841,581,-220,-721,3232,55415,43738,3232,1697,495,245,85337,39965,237,64430,18808,2429,14887,9187,4065,70605,21141
6707,1715,62821,48284,1459,61162,47992,371,-1383,-1401,1715,64996,50119,1715,2067,700,179,89682,33042,178,65859,15552,1345,18108,11073,1994,91171,39133
6710,720,122384,95841,681,122369,96097,120,-266,-4788,720,124217,98357,720,1833,452,27,85842,32010,27,64254,12671,645,42774,30407,774,61247,31299
6713,655,114920,103230,602,110728,108625,292,-5764,-5050,655,118216,107958,655,3020,1338,33,50226,21782,33,58743,7036,571,40019,34488,809,134320,77694
6714,10104,91938,78540,9414,93614,82285,3428,-7257,-5542,10104,94715,81084,10104,2713,1204,441,97164,25081,441,67270,11487,8599,30195,22947,12405,81284,39064
6716,368,105456,117686,354,110465,126156,144,-7074,-5368,368,107555,119454,368,2058,794,10,21622,3961,15,8822,2002,317,35332,36600,447,113989,70570
6718,338,51862,43352,316,52067,42632,45,-6857,-7348,338,53675,44396,338,1813,614,8,46037,44246,7,26986,17164,245,14322,9732,603,35260,10060
6720,1370,96167,95030,1299,100781,102618,515,-7662,-6175,1370,98372,97618,1370,2193,1187,38,39922,18086,41,17427,5318,1175,31357,29751,1667,93136,51625
6721,2926,99725,87426,2702,102375,93394,1068,-6309,-6240,2926,103499,91598,2926,3672,1830,138,74233,22821,140,54225,12056,2554,33003,26568,3747,95065,44615
6722,5920,84258,75596,5619,87754,79538,1537,-7361,-6373,5920,87346,78921,5920,3054,1516,194,76526,31180,191,50749,14748,5058,26082,21505,7829,64600,29205
6725,7836,59096,49646,6867,58721,51130,1688,-2690,-2927,7836,61353,51705,7836,2201,689,723,82299,25592,689,59809,11934,6259,16267,11544,9665,74408,30470
6726,1402,63766,52960,1235,61986,54820,333,-3945,-3144,1402,66318,55296,1402,2538,839,132,85242,30934,124,65126,11512,1149,17902,12425,1782,87613,31997
6728,1956,54646,46200,1735,56834,49516,334,-6928,-4168,1956,57135,48319,1956,2319,904,114,77817,22749,108,61946,13161,1487,15074,11720,2603,61440,22535
